Section,h[mm],t[mm],ro[mm],ri[mm],d[mm],A[cm2],Iy[cm4],Ip[cm4],iy[mm],ip[mm],max Sy[cm3],Wy[cm3],Ay[cm2],It[cm4],"It,StVen[cm4]","It,Bredt[cm4]","It,s[cm4]",Wt[cm3],max ω[cm2],Iω[cm6],iω[mm],Wω[cm4],max Sω[cm4],"Wpl,y[cm3]","Wpl,y,webs[cm3]","Wpl,z,flanges[cm3]","αpl,y","Apl,y[cm2]",Npl[kN],"Vpl,y[kN]","Mpl,y[kNm]",Nu[kN],G[kg/m],Am[m2/m],V[cm3/m],Am/V[1/m],Acell[cm2]
SHS 160x160x8.0,160,8,12,8,128,48,1830,3660,61.8,87.4,67.94,229,20.58,2880,10.14,2869.86,4.59,335.49,1.07,18.91,0.7,17.68,2.1,271.77,65.54,102.4,1.187,24.32,1126.807,329.967,63.87,1126.807,37.7,0.619,4800,128.958,230.49
SHS 160x160x8.8,160,8.8,13.2,8.8,124.8,52.4,1980,3960,61.4,86.8,73.79,247,22.63,3120,13.39,3106.61,5.79,361.74,1.14,23.73,0.8,20.74,2.45,295.15,68.53,112.64,1.195,26.61,1231.085,361.054,69.36,1231.085,41.1,0.617,5240,117.748,227.95
SHS 160x160x10.0,160,10,15,10,120,58.9,2190,4380,60.9,86.1,82.24,273,25.6,3480,19.43,3460.57,7.82,398.93,1.25,31.83,0.9,25.55,2.99,328.96,72,128,1.205,30,1384.636,407.032,77.31,1384.636,46.2,0.614,5890,104.244,224.14
SHS 160x160x11.0,160,11,16.5,11,116,64.3,2350,4700,60.5,85.6,89,294,27.94,3760,25.6,3734.4,9.7,427.99,1.32,39.23,0.9,29.71,3.45,356,74.01,140.8,1.211,32.78,1509.97,444.75,83.66,1509.97,50.5,0.612,6430,95.179,220.97
SHS 160x160x12.5,160,12.5,18.8,12.5,110,72.1,2580,5160,59.8,84.6,98.42,322,31.6,4160,37.01,4122.99,12.78,468.42,1.42,51.11,1,36.07,4.13,394.63,75.63,160,1.226,36.88,1693.494,500.31,92.74,1693.494,56.6,0.608,7210,84.327,216.22
SHS 160x160x14.2,160,14.2,21.3,14.2,103.2,80.7,2810,5620,59,83.4,108.68,351,35.5,4580,53.33,4526.67,16.51,509.89,1.5,65.14,1.1,43.31,4.89,435.65,75.62,181.76,1.241,41.41,1894.995,561.802,102.38,1894.995,63.3,0.603,8070,74.721,210.85
SHS 160x160x16.0,160,16,24,16,96,89.4,3030,6060,58.2,82.3,118.76,379,39.64,4990,74.89,4915.11,20.54,549.05,1.57,79.8,1.1,50.73,5.65,475.95,73.73,204.8,1.256,46.08,2100.828,625.201,111.85,2100.828,70.2,0.599,8940,67.002,205.16
SHS 180x180x6.3,180,6.3,9.4,6.3,154.8,43.3,2170,4340,70.7,100,70.32,241,18.51,3360,5.7,3354.3,2.95,355,1.03,15.58,0.6,15.17,1.83,281.29,75.48,102.06,1.167,21.89,1018.584,296.946,66.1,1018.584,34,0.704,4330,162.587,301.38
SHS 180x180x7.1,180,7.1,10.7,7.1,151.6,48.6,2400,4800,70.4,99.6,78.38,267,20.67,3740,8.11,3731.89,4.03,393.05,1.13,21.23,0.7,18.77,2.26,313.51,81.59,115.02,1.174,24.55,1141.149,333.112,73.68,1141.149,38.2,0.702,4860,144.444,298.51
SHS 180x180x8.0,180,8,12,8,148,54.4,2660,5320,70,99,87.21,296,23.27,4160,11.51,4148.49,5.47,434.12,1.24,28.7,0.7,23.13,2.77,348.84,87.62,129.6,1.179,27.52,1277.207,373.384,81.98,1277.207,42.7,0.699,5440,128.493,295.29
SHS 180x180x8.8,180,8.8,13.2,8.8,144.8,59.4,2880,5760,69.6,98.4,94.86,320,25.52,4520,15.21,4504.79,6.95,469.14,1.33,36.3,0.8,27.25,3.24,379.43,92.25,142.56,1.186,30.13,1396.525,408.812,89.17,1396.525,46.6,0.697,5940,117.34,292.43
SHS 180x180x10.0,180,10,15,10,140,66.9,3190,6380,69.1,97.7,105.97,355,28.79,5050,22.09,5027.91,9.49,519.11,1.46,49.26,0.9,33.78,3.99,423.88,98,162,1.194,34,1572.636,461.303,99.61,1572.636,52.5,0.694,6690,103.737,288.14
SHS 180x180x11.0,180,11,16.5,11,136,73.1,3440,6880,68.6,97,114.91,382,31.57,5470,29.15,5440.85,11.89,558.48,1.55,61.34,0.9,39.48,4.63,459.63,101.73,178.2,1.203,37.18,1716.77,504.448,108.01,1716.77,57.4,0.692,7310,94.665,284.57
SHS 180x180x12.5,180,12.5,18.8,12.5,130,82.1,3790,7580,68,96.2,127.77,421,35.66,6070,42.22,6027.78,15.89,613.83,1.68,81.25,1,48.33,5.61,511.06,105.63,202.5,1.214,41.87,1928.494,568.149,120.1,1928.494,64.4,0.688,8210,83.8,279.22
SHS 180x180x14.2,180,14.2,21.3,14.2,123.2,92,4150,8300,67.2,95,141.22,462,40.14,6710,60.97,6649.03,20.89,671.41,1.8,105.64,1.1,58.62,6.71,566.22,107.77,230.04,1.226,47.09,2161.955,638.866,133.06,2161.955,72.2,0.683,9200,74.239,273.17
SHS 180x180x16.0,180,16,24,16,116,102,4500,9000,66.4,93.9,154.93,500,44.88,7340,85.81,7254.19,26.52,726.73,1.9,132.43,1.2,69.53,7.86,621.03,107.65,259.2,1.242,52.48,2401.628,712.035,145.94,2401.628,80.1,0.679,10200,66.569,266.76
SHS 200x200x5.0,200,5,7.5,5,180,38.7,2440,4880,79.5,112.4,70.63,245,16.34,3760,3.21,3756.79,1.81,361.99,0.95,11.91,0.5,12.5,1.52,282.5,81,100,1.153,19.5,910.159,264.571,66.39,910.159,30.4,0.787,3870,203.359,380.04
SHS 200x200x5.6,200,5.6,8.4,5.6,177.6,43.2,2710,5420,79.2,112,78.52,271,18.34,4170,4.5,4165.5,2.47,400.61,1.05,16.2,0.5,15.41,1.87,314.08,88.32,112,1.159,21.77,1015.367,295.407,73.81,1015.367,33.9,0.786,4320,181.944,377.64
SHS 200x200x6.3,200,6.3,9.4,6.3,174.8,48.4,3010,6020,78.9,111.6,87.58,301,20.57,4650,6.37,4643.63,3.4,444.43,1.16,22.21,0.6,19.11,2.32,350.3,96.25,126,1.164,24.41,1137.024,331.137,82.32,1137.024,38,0.784,4840,161.983,374.86
SHS 200x200x7.1,200,7.1,10.7,7.1,171.6,54.2,3340,6680,78.5,111,97.72,335,23.05,5190,9.06,5180.94,4.67,492.94,1.28,30.43,0.7,23.72,2.86,390.88,104.54,142,1.167,27.39,1274.629,371.645,91.86,1274.629,42.5,0.782,5420,144.28,371.67
SHS 200x200x8.0,200,8,12,8,168,60.8,3710,7420,78.1,110.5,108.88,371,25.98,5780,12.87,5767.13,6.37,545.54,1.41,41.4,0.7,29.33,3.52,435.51,112.9,160,1.174,30.72,1427.607,416.801,102.34,1427.607,47.7,0.779,6080,128.125,368.09
SHS 200x200x8.8,200,8.8,13.2,8.8,164.8,66.5,4020,8040,77.8,110,118.57,402,28.45,6290,17.03,6272.97,8.13,590.6,1.52,52.67,0.8,34.65,4.14,474.27,119.5,176,1.18,33.65,1561.965,456.57,111.45,1561.965,52.2,0.777,6650,116.842,364.91
SHS 200x200x10.0,200,10,15,10,160,74.9,4470,8940,77.2,109.2,132.7,447,32.18,7030,24.76,7005.24,11.2,655.25,1.67,72.13,0.9,43.15,5.13,530.8,128,200,1.187,38,1760.636,515.574,124.74,1760.636,58.8,0.774,7490,103.338,360.14
SHS 200x200x11.0,200,11,16.5,11,156,81.9,4830,9660,76.8,108.6,144.12,483,35.3,7630,32.7,7597.3,14.12,706.53,1.79,90.53,1,50.64,5.98,576.46,133.85,220,1.194,41.58,1923.57,564.146,135.47,1923.57,64.3,0.772,8190,94.261,356.17
SHS 200x200x12.5,200,12.5,18.8,12.5,150,92.1,5340,10680,76.1,107.6,160.63,534,39.9,8490,47.43,8442.57,19.09,779.17,1.95,121.42,1.1,62.39,7.3,642.5,140.63,250,1.203,46.88,2163.494,635.987,150.99,2163.494,72.3,0.768,9210,83.388,350.22
SHS 200x200x14.2,200,14.2,21.3,14.2,143.2,103,5870,11740,75.4,106.6,178.46,587,44.93,9420,68.6,9351.4,25.43,855.53,2.1,160.25,1.2,76.23,8.83,713.82,145.59,284,1.216,52.77,2428.915,715.931,167.75,2428.915,80.9,0.763,10300,74.078,343.49
SHS 200x200x16.0,200,16,24,16,136,115,6390,12780,74.6,105.5,195.87,639,50.26,10300,96.73,10203.27,32.77,929.82,2.24,204.34,1.3,91.2,10.43,785.31,147.97,320,1.229,58.88,2702.428,798.868,184.55,2702.428,90.3,0.759,11500,66,336.36
SHS 220x220x8.0,220,8,12,8,188,67.2,5000,10000,86.3,122,132.94,455,28.62,7760,14.24,7745.76,7.28,669.75,1.58,57.39,0.8,36.25,4.37,531.78,141.38,193.6,1.169,33.92,1578.007,460.217,124.97,1578.007,52.8,0.859,6720,127.827,448.89
SHS 220x220x8.8,220,8.8,13.2,8.8,184.8,73.5,5430,10860,85.9,121.5,144.92,494,31.41,8460,18.85,8441.15,9.33,726.12,1.71,73.34,0.8,42.94,5.16,579.66,150.26,212.96,1.173,37.17,1727.405,504.329,136.22,1727.405,57.7,0.857,7350,116.599,445.39
SHS 220x220x10.0,220,10,15,10,180,82.9,6050,12100,85.4,120.8,162.43,550,35.54,9470,27.43,9442.57,12.93,807.37,1.88,101.17,0.9,53.67,6.41,649.72,162,242,1.181,42,1948.636,569.845,152.69,1948.636,65.1,0.854,8290,103.016,440.14
SHS 220x220x11.0,220,11,16.5,11,176,90.7,6550,13100,85,120.2,176.62,595,39.01,10300,36.25,10263.75,16.4,872.14,2.02,127.78,1,63.18,7.51,706.5,170.37,266.2,1.187,45.98,2130.37,623.844,166.03,2130.37,71.2,0.852,9070,93.936,435.77
SHS 220x220x12.5,220,12.5,18.8,12.5,170,102,7250,14500,84.3,119.2,197.24,659,43.98,11500,52.64,11447.36,22.35,964.45,2.21,173.05,1.1,78.23,9.22,788.94,180.63,302.5,1.197,51.87,2398.494,703.826,185.4,2398.494,80.1,0.848,10200,83.137,429.22
SHS 220x220x14.2,220,14.2,21.3,14.2,163.2,115,8010,16020,83.5,118.1,219.62,728,49.74,12800,76.24,12723.76,30.08,1062.28,2.4,231.07,1.2,96.16,11.23,878.47,189.1,343.64,1.207,58.45,2695.875,792.996,206.44,2695.875,90.3,0.843,11500,73.304,421.81
SHS 220x220x16.0,220,16,24,16,156,128,8750,17500,82.7,117,242.2,795,55.66,14100,107.66,13992.34,39.23,1158.37,2.58,298.55,1.3,115.8,13.38,968.78,194.69,387.2,1.219,65.28,3003.228,885.701,227.66,3003.228,100.5,0.839,12800,65.547,413.96
SHS 250x250x5.0,250,5,7.5,5,230,48.7,4860,9720,99.9,141.3,111.71,389,20.59,7430,4.05,7425.95,2.38,577.01,1.22,24.53,0.5,20.08,2.46,446.83,132.25,156.25,1.149,24.5,1145.159,332.409,105,1145.159,38.2,0.987,4870,202.669,600.04
SHS 250x250x5.6,250,5.6,8.4,5.6,227.6,54.4,5400,10800,99.6,140.9,124.38,432,23.04,8270,5.67,8264.33,3.27,640.09,1.35,33.6,0.6,24.85,3.04,497.53,145.04,175,1.152,27.37,1278.567,371.387,116.92,1278.567,42.7,0.986,5440,181.25,597.04
SHS 250x250x6.3,250,6.3,9.4,6.3,224.8,61,6010,12020,99.3,140.4,138.98,481,25.82,9240,8.03,9231.97,4.52,712.1,1.5,46.44,0.6,30.96,3.78,555.9,159.19,196.88,1.156,30.71,1433.124,416.613,130.64,1433.124,47.9,0.984,6100,161.311,593.56
SHS 250x250x7.1,250,7.1,10.7,7.1,221.6,68.4,6700,13400,99,140,155.4,536,29.05,10300,11.45,10288.55,6.27,792.35,1.66,64.23,0.7,38.61,4.7,621.59,174.33,221.88,1.16,34.49,1608.329,467.975,146.07,1608.329,53.7,0.982,6840,143.567,589.57
SHS 250x250x8.0,250,8,12,8,218,76.8,7460,14920,98.6,139.4,173.55,596,32.7,11500,16.29,11483.71,8.65,880.06,1.84,88.35,0.8,48.02,5.82,694.18,190.1,250,1.165,38.72,1803.607,525.343,163.13,1803.607,60.3,0.979,7680,127.474,585.09
SHS 250x250x8.8,250,8.8,13.2,8.8,214.8,84.1,8110,16220,98.2,138.9,189.39,649,35.86,12600,21.57,12578.43,11.14,955.78,1.99,113.53,0.8,57.03,6.89,757.56,203.01,275,1.167,42.45,1975.565,575.966,178.03,1975.565,66,0.977,8410,116.171,581.11
SHS 250x250x10.0,250,10,15,10,210,94.9,9060,18120,97.7,138.2,212.65,724,40.61,14100,31.43,14068.57,15.56,1065.52,2.21,157.93,0.9,71.6,8.6,850.6,220.5,312.5,1.175,48,2230.636,651.251,199.89,2230.636,74.5,0.974,9490,102.634,575.14
SHS 250x250x11.0,250,11,16.5,11,206,104,9820,19640,97.2,137.5,231.58,785,44.5,15400,41.58,15358.42,19.86,1153.51,2.37,200.91,1,84.6,10.12,926.3,233.4,343.75,1.18,52.58,2440.57,713.391,217.68,2440.57,81.6,0.972,10400,93.462,570.17
SHS 250x250x12.5,250,12.5,18.8,12.5,200,117,10900,21800,96.6,136.6,259.18,873,50.17,17200,60.45,17139.55,27.34,1279.79,2.61,275.15,1.1,105.35,12.52,1036.72,250,390.63,1.188,59.37,2750.994,805.584,243.63,2750.994,91.8,0.968,11700,82.735,562.72
SHS 250x250x14.2,250,14.2,21.3,14.2,193.2,132,12100,24200,95.8,135.5,289.35,967,56.9,19100,87.69,19012.31,37.24,1414.89,2.86,372.35,1.2,130.38,15.37,1157.39,265.02,443.75,1.197,66.97,3096.315,908.593,271.99,3096.315,103.6,0.963,13200,72.955,554.29
SHS 250x250x16.0,250,16,24,16,186,147,13300,26600,95,134.4,320,1060,64,21100,124.04,20975.96,49.21,1549.01,3.09,488.31,1.4,158.2,18.49,1280,276.77,500,1.208,74.88,3454.428,1015.952,300.8,3454.428,115.4,0.959,14700,65.238,545.36
SHS 260x260x7.1,260,7.1,10.7,7.1,231.6,71.3,7570,15140,103,145.7,168.53,582,30.27,11600,11.92,11588.08,6.59,860.74,1.74,73.1,0.7,42.03,5.12,674.12,190.42,239.98,1.158,35.91,1675.069,487.242,158.42,1675.069,56,1.02,7130,143.058,639.15
SHS 260x260x8.0,260,8,12,8,228,80,8420,16840,103,145.7,188.28,648,33.98,13000,16.97,12983.03,9.11,956.55,1.93,100.73,0.8,52.31,6.35,753.12,207.94,270.4,1.162,40.32,1878.807,547.051,176.98,1878.807,62.8,1.02,8000,127.5,634.49
SHS 260x260x8.8,260,8.8,13.2,8.8,224.8,87.6,9160,18320,102,144.2,205.53,705,37.28,14200,22.48,14177.52,11.75,1039.37,2.08,129.63,0.8,62.17,7.52,822.14,222.35,297.44,1.166,44.21,2058.285,599.846,193.2,2058.285,68.8,1.02,8760,116.438,630.35
SHS 260x260x10.0,260,10,15,10,220,98.9,10200,20400,102,144.2,230.89,788,41.89,15900,32.76,15867.24,16.44,1159.56,2.31,180.74,0.9,78.15,9.4,923.57,242,338,1.172,50,2324.636,678.387,217.04,2324.636,77.6,1.01,9890,102.123,624.14
SHS 260x260x11.0,260,11,16.5,11,216,108,11100,22200,101,142.8,251.54,855,46.23,17300,43.35,17256.65,21.02,1256.09,2.49,230.38,1,92.43,11.08,1006.17,256.61,371.8,1.177,54.78,2543.97,743.24,236.45,2543.97,84.8,1.01,10800,93.519,618.97
SHS 260x260x12.5,260,12.5,18.8,12.5,210,122,12400,24800,101,142.8,281.7,951,52.7,19400,63.05,19336.95,29.03,1394.89,2.75,316.48,1.1,115.29,13.73,1126.82,275.63,422.5,1.185,61.87,2868.494,839.503,264.8,2868.494,95.8,1.01,12200,82.787,611.22
SHS 260x260x14.2,260,14.2,21.3,14.2,203.2,137,13700,27400,99.9,141.3,314.72,1060,59.1,21700,91.51,21608.49,39.66,1543.76,3.01,429.84,1.3,142.95,16.89,1258.88,293.16,479.96,1.188,69.81,3229.795,947.125,295.84,3229.795,107.5,1,13700,72.993,602.45
SHS 260x260x16.0,260,16,24,16,196,153,15100,30200,99.1,140.1,348.33,1160,66.7,23900,129.5,23770.5,52.59,1691.98,3.26,566,1.4,173.8,20.37,1393.34,307.33,540.8,1.201,78.08,3604.828,1059.368,327.43,3604.828,120.1,0.999,15300,65.294,593.16
